epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
115,4666.05,1.17782,0.91512,1.20606,0.70845,0.72607,0.72091,0.4038,1.54027,1.20667,1.47807,0.000144161,0.000144161,0.000144161
116,4705.46,1.20512,0.93447,1.218,0.68757,0.72739,0.72257,0.40427,1.55086,1.20972,1.4766,0.000137143,0.000137143,0.000137143
117,4745.74,1.18326,0.91872,1.21073,0.67859,0.74275,0.7298,0.40833,1.55232,1.19459,1.47223,0.000130287,0.000130287,0.000130287
118,4785.44,1.15924,0.90582,1.19564,0.69411,0.73853,0.72257,0.4096,1.5387,1.18117,1.46836,0.000123596,0.000123596,0.000123596
119,4825.9,1.1657,0.90827,1.20268,0.68907,0.72993,0.70842,0.40083,1.54386,1.24314,1.48254,0.000117072,0.000117072,0.000117072
120,4864.88,1.17447,0.90093,1.206,0.68623,0.72117,0.70466,0.39499,1.54594,1.18026,1.47794,0.000110718,0.000110718,0.000110718
121,4899.74,1.17614,0.92039,1.2095,0.69301,0.7292,0.72357,0.40704,1.53095,1.1927,1.46069,0.000104537,0.000104537,0.000104537
122,4934.85,1.15896,0.88104,1.19542,0.69716,0.72016,0.72129,0.40415,1.55096,1.21584,1.47653,9.85311e-05,9.85311e-05,9.85311e-05
123,4969.72,1.15214,0.88925,1.19755,0.67927,0.72497,0.71391,0.40465,1.53743,1.23041,1.47217,9.2704e-05,9.2704e-05,9.2704e-05
124,5004.71,1.16386,0.88952,1.20142,0.66899,0.73937,0.70818,0.3958,1.55825,1.21864,1.48147,8.70577e-05,8.70577e-05,8.70577e-05
125,5039.59,1.1649,0.8888,1.20081,0.68275,0.71894,0.70524,0.39951,1.53632,1.23023,1.47087,8.15947e-05,8.15947e-05,8.15947e-05
126,5074.55,1.15852,0.88783,1.19267,0.6974,0.72281,0.71017,0.3981,1.54543,1.2397,1.47119,7.63174e-05,7.63174e-05,7.63174e-05
